severity,disease,filename,filepath,width,height,format,mode
Terparah,Melanoma,ISIC_7400819.jpg,D:/Analisis data cptn/Data capston project\Terparah\Melanoma\ISIC_7400819.jpg,512,512,JPEG,RGB
Sedang,Psoriasis pictures Lichen Planus and related diseases,t-Lichen-Planus-Oral-43.jpg,D:/Analisis data cptn/Data capston project\Sedang\Psoriasis pictures Lichen Planus and related diseases\t-Lichen-Planus-Oral-43.jpg,720,474,JPEG,RGB
Sedang,Warts Molluscum and other Viral Infections,t-herpes-cutaneous-40.jpg,D:/Analisis data cptn/Data capston project\Sedang\Warts Molluscum and other Viral Infections\t-herpes-cutaneous-40.jpg,720,472,JPEG,RGB
Ringan,Atopic Dermatitis,4_6.jpg,D:/Analisis data cptn/Data capston project\Ringan\Atopic Dermatitis\4_6.jpg,294,222,JPEG,RGB
Terparah,Seborrheic Keratoses and other Benign Tumors,t-epidermal-nevus-37.jpg,D:/Analisis data cptn/Data capston project\Terparah\Seborrheic Keratoses and other Benign Tumors\t-epidermal-nevus-37.jpg,720,472,JPEG,RGB
Normal,healthy skin,Berminyak14_jpg.rf.23a1537d57cd4db689bcfff75be43f42.jpg,D:/Analisis data cptn/Data capston project\Normal\healthy skin\Berminyak14_jpg.rf.23a1537d57cd4db689bcfff75be43f42.jpg,512,512,JPEG,RGB
Sedang,Melasma,levle1_188_jpg.rf.5d0ce7ecad2c4324de136f46a287c352.jpg,D:/Analisis data cptn/Data capston project\Sedang\Melasma\levle1_188_jpg.rf.5d0ce7ecad2c4324de136f46a287c352.jpg,512,512,JPEG,RGB
Sedang,Psoriasis pictures Lichen Planus and related diseases,t-lichen-planus-204.jpg,D:/Analisis data cptn/Data capston project\Sedang\Psoriasis pictures Lichen Planus and related diseases\t-lichen-planus-204.jpg,720,479,JPEG,RGB
Terparah,Basal Cell Carcinoma (BCC),ISIC_0026324.jpg,D:/Analisis data cptn/Data capston project\Terparah\Basal Cell Carcinoma (BCC)\ISIC_0026324.jpg,600,450,JPEG,RGB
Ringan,Benign Keratosis-like Lesions (BKL),ISIC_0065588.jpg,D:/Analisis data cptn/Data capston project\Ringan\Benign Keratosis-like Lesions (BKL)\ISIC_0065588.jpg,1024,1024,JPEG,RGB
Terparah,Melanoma,ISIC_6923820.jpg,D:/Analisis data cptn/Data capston project\Terparah\Melanoma\ISIC_6923820.jpg,512,512,JPEG,RGB
Terparah,Seborrheic Keratoses and other Benign Tumors,t-keratoacanthoma-169.jpg,D:/Analisis data cptn/Data capston project\Terparah\Seborrheic Keratoses and other Benign Tumors\t-keratoacanthoma-169.jpg,720,472,JPEG,RGB
Ringan,Atopic Dermatitis,t-05mouthChild122206.jpg,D:/Analisis data cptn/Data capston project\Ringan\Atopic Dermatitis\t-05mouthChild122206.jpg,720,480,JPEG,RGB
Ringan,hyperpigmentation,hue-200acquired-dermal-macular-hyperpigmentation-012__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDFd.jpeg,D:/Analisis data cptn/Data capston project\Ringan\hyperpigmentation\hue-200acquired-dermal-macular-hyperpigmentation-012__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDFd.jpeg,294,222,JPEG,RGB
Terparah,Basal Cell Carcinoma (BCC),ISIC_0058898.jpg,D:/Analisis data cptn/Data capston project\Terparah\Basal Cell Carcinoma (BCC)\ISIC_0058898.jpg,1024,1024,JPEG,RGB
Terparah,Basal Cell Carcinoma (BCC),ISIC_0058483.jpg,D:/Analisis data cptn/Data capston project\Terparah\Basal Cell Carcinoma (BCC)\ISIC_0058483.jpg,1024,1024,JPEG,RGB
Sedang,Psoriasis pictures Lichen Planus and related diseases,v-lichen-planus-144.jpg,D:/Analisis data cptn/Data capston project\Sedang\Psoriasis pictures Lichen Planus and related diseases\v-lichen-planus-144.jpg,496,720,JPEG,RGB
Terparah,Melanoma,ISIC_7107052.jpg,D:/Analisis data cptn/Data capston project\Terparah\Melanoma\ISIC_7107052.jpg,512,512,JPEG,RGB
Terparah,Basal Cell Carcinoma (BCC),ISIC_0064420.jpg,D:/Analisis data cptn/Data capston project\Terparah\Basal Cell Carcinoma (BCC)\ISIC_0064420.jpg,1024,1024,JPEG,RGB
Sedang,Warts Molluscum and other Viral Infections,5_37.jpg,D:/Analisis data cptn/Data capston project\Sedang\Warts Molluscum and other Viral Infections\5_37.jpg,294,222,JPEG,RGB
Terparah,Melanoma,ISIC_7489564.jpg,D:/Analisis data cptn/Data capston project\Terparah\Melanoma\ISIC_7489564.jpg,512,512,JPEG,RGB
Terparah,Melanoma,ISIC_7070684.jpg,D:/Analisis data cptn/Data capston project\Terparah\Melanoma\ISIC_7070684.jpg,512,512,JPEG,RGB
Terparah,Seborrheic Keratoses and other Benign Tumors,t-epidermal-nevus-53.jpg,D:/Analisis data cptn/Data capston project\Terparah\Seborrheic Keratoses and other Benign Tumors\t-epidermal-nevus-53.jpg,720,472,JPEG,RGB
Terparah,Basal Cell Carcinoma (BCC),ISIC_0069032.jpg,D:/Analisis data cptn/Data capston project\Terparah\Basal Cell Carcinoma (BCC)\ISIC_0069032.jpg,1024,1024,JPEG,RGB
Normal,healthy skin,Normal259_jpg.rf.6859b0516718c4eb0548638a6cf0f1cb.jpg,D:/Analisis data cptn/Data capston project\Normal\healthy skin\Normal259_jpg.rf.6859b0516718c4eb0548638a6cf0f1cb.jpg,512,512,JPEG,RGB
Terparah,Basal Cell Carcinoma (BCC),ISIC_0071867.jpg,D:/Analisis data cptn/Data capston project\Terparah\Basal Cell Carcinoma (BCC)\ISIC_0071867.jpg,1024,1024,JPEG,RGB
Terparah,Basal Cell Carcinoma (BCC),ISIC_0053769.jpg,D:/Analisis data cptn/Data capston project\Terparah\Basal Cell Carcinoma (BCC)\ISIC_0053769.jpg,1024,1024,JPEG,RGB
Terparah,Basal Cell Carcinoma (BCC),ISIC_0065178.jpg,D:/Analisis data cptn/Data capston project\Terparah\Basal Cell Carcinoma (BCC)\ISIC_0065178.jpg,1024,1024,JPEG,RGB
Ringan,Atopic Dermatitis,t-05AtopicFace28.jpg,D:/Analisis data cptn/Data capston project\Ringan\Atopic Dermatitis\t-05AtopicFace28.jpg,720,472,JPEG,RGB
Sedang,Warts Molluscum and other Viral Infections,7_46.jpg,D:/Analisis data cptn/Data capston project\Sedang\Warts Molluscum and other Viral Infections\7_46.jpg,294,222,JPEG,RGB
Sedang,Melasma,levle0_68_jpg.rf.644e0d92c01e2434bc255758a3286dfb.jpg,D:/Analisis data cptn/Data capston project\Sedang\Melasma\levle0_68_jpg.rf.644e0d92c01e2434bc255758a3286dfb.jpg,512,512,JPEG,RGB
Normal,healthy skin,Normal102_jpg.rf.cd6a2592667a728ef2bc83fc79707fb9.jpg,D:/Analisis data cptn/Data capston project\Normal\healthy skin\Normal102_jpg.rf.cd6a2592667a728ef2bc83fc79707fb9.jpg,512,512,JPEG,RGB
Terparah,Melanoma,ISIC_7543427.jpg,D:/Analisis data cptn/Data capston project\Terparah\Melanoma\ISIC_7543427.jpg,512,512,JPEG,RGB
Terparah,Melanoma,ISIC_6741822.jpg,D:/Analisis data cptn/Data capston project\Terparah\Melanoma\ISIC_6741822.jpg,512,512,JPEG,RGB
Sedang,Warts Molluscum and other Viral Infections,6_309.jpg,D:/Analisis data cptn/Data capston project\Sedang\Warts Molluscum and other Viral Infections\6_309.jpg,294,222,JPEG,RGB
Sedang,Melasma,02977_png_jpg.rf.3240e4ac14a45e0703b539f1c3329121.jpg,D:/Analisis data cptn/Data capston project\Sedang\Melasma\02977_png_jpg.rf.3240e4ac14a45e0703b539f1c3329121.jpg,512,512,JPEG,RGB
Sedang,Melasma,318_jpg.rf.68533ec390ee90efe80351e3a833eddc.jpg,D:/Analisis data cptn/Data capston project\Sedang\Melasma\318_jpg.rf.68533ec390ee90efe80351e3a833eddc.jpg,512,512,JPEG,RGB
Sedang,Warts Molluscum and other Viral Infections,v-herpes-simplex-34.jpg,D:/Analisis data cptn/Data capston project\Sedang\Warts Molluscum and other Viral Infections\v-herpes-simplex-34.jpg,720,469,JPEG,RGB
Ringan,Benign Keratosis-like Lesions (BKL),ISIC_0058507.jpg,D:/Analisis data cptn/Data capston project\Ringan\Benign Keratosis-like Lesions (BKL)\ISIC_0058507.jpg,1024,1024,JPEG,RGB
Terparah,Melanoma,ISIC_7523226.jpg,D:/Analisis data cptn/Data capston project\Terparah\Melanoma\ISIC_7523226.jpg,512,512,JPEG,RGB
Sedang,Psoriasis pictures Lichen Planus and related diseases,1_0.jpg,D:/Analisis data cptn/Data capston project\Sedang\Psoriasis pictures Lichen Planus and related diseases\1_0.jpg,294,222,JPEG,RGB
Sedang,Melasma,levle0_2_jpg.rf.6347439cbbe0dd76b06768771db4c118.jpg,D:/Analisis data cptn/Data capston project\Sedang\Melasma\levle0_2_jpg.rf.6347439cbbe0dd76b06768771db4c118.jpg,512,512,JPEG,RGB
Ringan,hyperpigmentation,superpixels-50acquired-dermal-macular-hyperpigmentation-011__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsInkiLDg1XQ.jpeg,D:/Analisis data cptn/Data capston project\Ringan\hyperpigmentation\superpixels-50acquired-dermal-macular-hyperpigmentation-011__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsInkiLDg1XQ.jpeg,294,222,JPEG,RGB
Terparah,Basal Cell Carcinoma (BCC),ISIC_0059509.jpg,D:/Analisis data cptn/Data capston project\Terparah\Basal Cell Carcinoma (BCC)\ISIC_0059509.jpg,1024,1024,JPEG,RGB
Terparah,Melanoma,ISIC_7511365.jpg,D:/Analisis data cptn/Data capston project\Terparah\Melanoma\ISIC_7511365.jpg,512,512,JPEG,RGB
Sedang,Psoriasis pictures Lichen Planus and related diseases,t-08PsoriasisOnycholysis2.jpg,D:/Analisis data cptn/Data capston project\Sedang\Psoriasis pictures Lichen Planus and related diseases\t-08PsoriasisOnycholysis2.jpg,720,472,JPEG,RGB
Ringan,hyperpigmentation,Crop-100350_100300lp-pigmentosus1__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDFd.jpeg,D:/Analisis data cptn/Data capston project\Ringan\hyperpigmentation\Crop-100350_100300lp-pigmentosus1__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDFd.jpeg,194,122,JPEG,RGB
Terparah,Melanoma,ISIC_6815964.jpg,D:/Analisis data cptn/Data capston project\Terparah\Melanoma\ISIC_6815964.jpg,512,512,JPEG,RGB
Terparah,Seborrheic Keratoses and other Benign Tumors,t-seborrheic-keratoses-smooth-55.jpg,D:/Analisis data cptn/Data capston project\Terparah\Seborrheic Keratoses and other Benign Tumors\t-seborrheic-keratoses-smooth-55.jpg,720,472,JPEG,RGB
Ringan,hyperpigmentation,flip-0acquired-dermal-macular-hyperpigmentation-020__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDFd.jpeg,D:/Analisis data cptn/Data capston project\Ringan\hyperpigmentation\flip-0acquired-dermal-macular-hyperpigmentation-020__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDFd.jpeg,294,222,JPEG,RGB
Ringan,Atopic Dermatitis,v-05IchthyosisSexLinked0308045.jpg,D:/Analisis data cptn/Data capston project\Ringan\Atopic Dermatitis\v-05IchthyosisSexLinked0308045.jpg,472,720,JPEG,RGB
Terparah,Melanoma,ISIC_6742970.jpg,D:/Analisis data cptn/Data capston project\Terparah\Melanoma\ISIC_6742970.jpg,512,512,JPEG,RGB
Ringan,Atopic Dermatitis,t-6IMG016.jpg,D:/Analisis data cptn/Data capston project\Ringan\Atopic Dermatitis\t-6IMG016.jpg,479,720,JPEG,RGB
Terparah,Basal Cell Carcinoma (BCC),ISIC_0066406.jpg,D:/Analisis data cptn/Data capston project\Terparah\Basal Cell Carcinoma (BCC)\ISIC_0066406.jpg,1024,1024,JPEG,RGB
Terparah,Basal Cell Carcinoma (BCC),ISIC_0059741.jpg,D:/Analisis data cptn/Data capston project\Terparah\Basal Cell Carcinoma (BCC)\ISIC_0059741.jpg,1024,1024,JPEG,RGB
Terparah,Melanoma,ISIC_7537335.jpg,D:/Analisis data cptn/Data capston project\Terparah\Melanoma\ISIC_7537335.jpg,512,512,JPEG,RGB
Terparah,Basal Cell Carcinoma (BCC),ISIC_0027546.jpg,D:/Analisis data cptn/Data capston project\Terparah\Basal Cell Carcinoma (BCC)\ISIC_0027546.jpg,600,450,JPEG,RGB
Terparah,Seborrheic Keratoses and other Benign Tumors,t-keratoacanthoma-112.jpg,D:/Analisis data cptn/Data capston project\Terparah\Seborrheic Keratoses and other Benign Tumors\t-keratoacanthoma-112.jpg,720,472,JPEG,RGB
Ringan,Atopic Dermatitis,1_29.jpg,D:/Analisis data cptn/Data capston project\Ringan\Atopic Dermatitis\1_29.jpg,294,222,JPEG,RGB
Terparah,Basal Cell Carcinoma (BCC),ISIC_0063649.jpg,D:/Analisis data cptn/Data capston project\Terparah\Basal Cell Carcinoma (BCC)\ISIC_0063649.jpg,1024,1024,JPEG,RGB
Terparah,Basal Cell Carcinoma (BCC),ISIC_0070665.jpg,D:/Analisis data cptn/Data capston project\Terparah\Basal Cell Carcinoma (BCC)\ISIC_0070665.jpg,1024,1024,JPEG,RGB
Ringan,Eczema,t-neurotic-excoriations-23.jpg,D:/Analisis data cptn/Data capston project\Ringan\Eczema\t-neurotic-excoriations-23.jpg,720,477,JPEG,RGB
Ringan,Benign Keratosis-like Lesions (BKL),ISIC_0031522.jpg,D:/Analisis data cptn/Data capston project\Ringan\Benign Keratosis-like Lesions (BKL)\ISIC_0031522.jpg,600,450,JPEG,RGB
Terparah,Melanoma,ISIC_7566403.jpg,D:/Analisis data cptn/Data capston project\Terparah\Melanoma\ISIC_7566403.jpg,512,512,JPEG,RGB
Sedang,Melasma,melasma66_png.rf.1f0472f9812b4584ec37992933f4b4ca.jpg,D:/Analisis data cptn/Data capston project\Sedang\Melasma\melasma66_png.rf.1f0472f9812b4584ec37992933f4b4ca.jpg,512,512,JPEG,RGB
Sedang,Warts Molluscum and other Viral Infections,v-eczema-herpeticum-34.jpg,D:/Analisis data cptn/Data capston project\Sedang\Warts Molluscum and other Viral Infections\v-eczema-herpeticum-34.jpg,720,596,JPEG,RGB
Sedang,Melasma,18333_png_jpg.rf.2fe247467e441945dd1d4c4b2b97b855.jpg,D:/Analisis data cptn/Data capston project\Sedang\Melasma\18333_png_jpg.rf.2fe247467e441945dd1d4c4b2b97b855.jpg,512,512,JPEG,RGB
Terparah,Melanoma,ISIC_6675653.jpg,D:/Analisis data cptn/Data capston project\Terparah\Melanoma\ISIC_6675653.jpg,512,512,JPEG,RGB
Terparah,Basal Cell Carcinoma (BCC),ISIC_0056696.jpg,D:/Analisis data cptn/Data capston project\Terparah\Basal Cell Carcinoma (BCC)\ISIC_0056696.jpg,1024,1024,JPEG,RGB
Terparah,Melanoma,ISIC_7441191.jpg,D:/Analisis data cptn/Data capston project\Terparah\Melanoma\ISIC_7441191.jpg,512,512,JPEG,RGB
Sedang,Warts Molluscum and other Viral Infections,t-molluscum-contagiosum-96.jpg,D:/Analisis data cptn/Data capston project\Sedang\Warts Molluscum and other Viral Infections\t-molluscum-contagiosum-96.jpg,496,720,JPEG,RGB
Sedang,Warts Molluscum and other Viral Infections,0_46.jpg,D:/Analisis data cptn/Data capston project\Sedang\Warts Molluscum and other Viral Infections\0_46.jpg,294,222,JPEG,RGB
Ringan,hyperpigmentation,hue-50acquired-dermal-macular-hyperpigmentation-016__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsInkiLDg1XQ.jpeg,D:/Analisis data cptn/Data capston project\Ringan\hyperpigmentation\hue-50acquired-dermal-macular-hyperpigmentation-016__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsInkiLDg1XQ.jpeg,294,222,JPEG,RGB
Ringan,Eczema,t-eczema-nummular-162.jpg,D:/Analisis data cptn/Data capston project\Ringan\Eczema\t-eczema-nummular-162.jpg,720,477,JPEG,RGB
Terparah,Melanoma,ISIC_6791989.jpg,D:/Analisis data cptn/Data capston project\Terparah\Melanoma\ISIC_6791989.jpg,512,512,JPEG,RGB
Terparah,Melanoma,ISIC_7507286.jpg,D:/Analisis data cptn/Data capston project\Terparah\Melanoma\ISIC_7507286.jpg,512,512,JPEG,RGB
Terparah,Melanoma,ISIC_7307418.jpg,D:/Analisis data cptn/Data capston project\Terparah\Melanoma\ISIC_7307418.jpg,512,512,JPEG,RGB
Ringan,hyperpigmentation,Crop-100350_100300acquired-dermal-macular-hyperpigmentation-021-v2__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDFd.jpeg,D:/Analisis data cptn/Data capston project\Ringan\hyperpigmentation\Crop-100350_100300acquired-dermal-macular-hyperpigmentation-021-v2__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDFd.jpeg,194,122,JPEG,RGB
Sedang,Melasma,levle1_151_jpg.rf.ec32e729ac5384d2da338f6352bb22b6.jpg,D:/Analisis data cptn/Data capston project\Sedang\Melasma\levle1_151_jpg.rf.ec32e729ac5384d2da338f6352bb22b6.jpg,512,512,JPEG,RGB
Terparah,Basal Cell Carcinoma (BCC),ISIC_0061220.jpg,D:/Analisis data cptn/Data capston project\Terparah\Basal Cell Carcinoma (BCC)\ISIC_0061220.jpg,1024,1024,JPEG,RGB
Sedang,Warts Molluscum and other Viral Infections,t-herpes-type-1-recurrent-77.jpg,D:/Analisis data cptn/Data capston project\Sedang\Warts Molluscum and other Viral Infections\t-herpes-type-1-recurrent-77.jpg,720,492,JPEG,RGB
Ringan,Benign Keratosis-like Lesions (BKL),ISIC_0067477.jpg,D:/Analisis data cptn/Data capston project\Ringan\Benign Keratosis-like Lesions (BKL)\ISIC_0067477.jpg,1024,1024,JPEG,RGB
Sedang,Melasma,flan-3-_jpg.rf.7919b3a12fa7e5c6568c6df3992988bb.jpg,D:/Analisis data cptn/Data capston project\Sedang\Melasma\flan-3-_jpg.rf.7919b3a12fa7e5c6568c6df3992988bb.jpg,512,512,JPEG,RGB
Terparah,Basal Cell Carcinoma (BCC),ISIC_0028693.jpg,D:/Analisis data cptn/Data capston project\Terparah\Basal Cell Carcinoma (BCC)\ISIC_0028693.jpg,600,450,JPEG,RGB
Ringan,Eczema,v-eczema-chronic-2.jpg,D:/Analisis data cptn/Data capston project\Ringan\Eczema\v-eczema-chronic-2.jpg,720,472,JPEG,RGB
Terparah,Melanoma,ISIC_7505863.jpg,D:/Analisis data cptn/Data capston project\Terparah\Melanoma\ISIC_7505863.jpg,512,512,JPEG,RGB
Terparah,Seborrheic Keratoses and other Benign Tumors,t-porokeratosis-10.jpg,D:/Analisis data cptn/Data capston project\Terparah\Seborrheic Keratoses and other Benign Tumors\t-porokeratosis-10.jpg,720,500,JPEG,RGB
Terparah,Basal Cell Carcinoma (BCC),ISIC_0057255.jpg,D:/Analisis data cptn/Data capston project\Terparah\Basal Cell Carcinoma (BCC)\ISIC_0057255.jpg,1024,1024,JPEG,RGB
Ringan,Eczema,1_0.jpg,D:/Analisis data cptn/Data capston project\Ringan\Eczema\1_0.jpg,294,222,JPEG,RGB
Terparah,Melanoma,ISIC_6947576.jpg,D:/Analisis data cptn/Data capston project\Terparah\Melanoma\ISIC_6947576.jpg,512,512,JPEG,RGB
Sedang,Melasma,levle1_272_jpg.rf.3d13a32e3f6b66e95f70faa546037203.jpg,D:/Analisis data cptn/Data capston project\Sedang\Melasma\levle1_272_jpg.rf.3d13a32e3f6b66e95f70faa546037203.jpg,512,512,JPEG,RGB
Terparah,Basal Cell Carcinoma (BCC),ISIC_0067721.jpg,D:/Analisis data cptn/Data capston project\Terparah\Basal Cell Carcinoma (BCC)\ISIC_0067721.jpg,1024,1024,JPEG,RGB
Terparah,Melanoma,ISIC_6700528.jpg,D:/Analisis data cptn/Data capston project\Terparah\Melanoma\ISIC_6700528.jpg,512,512,JPEG,RGB
Terparah,Basal Cell Carcinoma (BCC),ISIC_0070015.jpg,D:/Analisis data cptn/Data capston project\Terparah\Basal Cell Carcinoma (BCC)\ISIC_0070015.jpg,1024,1024,JPEG,RGB
Sedang,Melasma,melasma56_png.rf.2bae2bc5a6090a97922d5b8eaa487f44.jpg,D:/Analisis data cptn/Data capston project\Sedang\Melasma\melasma56_png.rf.2bae2bc5a6090a97922d5b8eaa487f44.jpg,512,512,JPEG,RGB
Terparah,Basal Cell Carcinoma (BCC),ISIC_0032022.jpg,D:/Analisis data cptn/Data capston project\Terparah\Basal Cell Carcinoma (BCC)\ISIC_0032022.jpg,600,450,JPEG,RGB
Terparah,Melanoma,ISIC_7526530.jpg,D:/Analisis data cptn/Data capston project\Terparah\Melanoma\ISIC_7526530.jpg,512,512,JPEG,RGB
Terparah,Melanoma,ISIC_7404638.jpg,D:/Analisis data cptn/Data capston project\Terparah\Melanoma\ISIC_7404638.jpg,512,512,JPEG,RGB
Sedang,Warts Molluscum and other Viral Infections,6_13.jpg,D:/Analisis data cptn/Data capston project\Sedang\Warts Molluscum and other Viral Infections\6_13.jpg,294,222,JPEG,RGB
Sedang,Melasma,01F3MMYGDBSNYN60BCACJAZRH4_jpeg_jpg.rf.2600b1606e711871c342c90a55f0a7ea.jpg,D:/Analisis data cptn/Data capston project\Sedang\Melasma\01F3MMYGDBSNYN60BCACJAZRH4_jpeg_jpg.rf.2600b1606e711871c342c90a55f0a7ea.jpg,512,512,JPEG,RGB
Sedang,Warts Molluscum and other Viral Infections,t-herpes-buttocks-1.jpg,D:/Analisis data cptn/Data capston project\Sedang\Warts Molluscum and other Viral Infections\t-herpes-buttocks-1.jpg,720,480,JPEG,RGB
Terparah,Melanoma,ISIC_6749335.jpg,D:/Analisis data cptn/Data capston project\Terparah\Melanoma\ISIC_6749335.jpg,512,512,JPEG,RGB
Ringan,Atopic Dermatitis,t-05atopicDerm040405ok1.jpg,D:/Analisis data cptn/Data capston project\Ringan\Atopic Dermatitis\t-05atopicDerm040405ok1.jpg,720,480,JPEG,RGB
Terparah,Basal Cell Carcinoma (BCC),ISIC_0062180.jpg,D:/Analisis data cptn/Data capston project\Terparah\Basal Cell Carcinoma (BCC)\ISIC_0062180.jpg,1024,1024,JPEG,RGB
Ringan,hyperpigmentation,hue-100acquired-dermal-macular-hyperpigmentation-014__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDFd.jpeg,D:/Analisis data cptn/Data capston project\Ringan\hyperpigmentation\hue-100acquired-dermal-macular-hyperpigmentation-014__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDFd.jpeg,294,222,JPEG,RGB
Terparah,Basal Cell Carcinoma (BCC),ISIC_0025940.jpg,D:/Analisis data cptn/Data capston project\Terparah\Basal Cell Carcinoma (BCC)\ISIC_0025940.jpg,600,450,JPEG,RGB
Terparah,Melanoma,ISIC_6813745.jpg,D:/Analisis data cptn/Data capston project\Terparah\Melanoma\ISIC_6813745.jpg,512,512,JPEG,RGB
Terparah,Melanoma,ISIC_7460146.jpg,D:/Analisis data cptn/Data capston project\Terparah\Melanoma\ISIC_7460146.jpg,512,512,JPEG,RGB
Terparah,Melanoma,ISIC_6697691.jpg,D:/Analisis data cptn/Data capston project\Terparah\Melanoma\ISIC_6697691.jpg,512,512,JPEG,RGB
Terparah,Basal Cell Carcinoma (BCC),ISIC_0058631.jpg,D:/Analisis data cptn/Data capston project\Terparah\Basal Cell Carcinoma (BCC)\ISIC_0058631.jpg,1024,1024,JPEG,RGB
Sedang,Melasma,levle0_55_jpg.rf.a07966cd5c3caee89e3ccf52dc904a7a.jpg,D:/Analisis data cptn/Data capston project\Sedang\Melasma\levle0_55_jpg.rf.a07966cd5c3caee89e3ccf52dc904a7a.jpg,512,512,JPEG,RGB
Sedang,Melasma,levle1_347_jpg.rf.7a33451a3b7e0fe83bb5aeb7994bc099.jpg,D:/Analisis data cptn/Data capston project\Sedang\Melasma\levle1_347_jpg.rf.7a33451a3b7e0fe83bb5aeb7994bc099.jpg,512,512,JPEG,RGB
Terparah,Basal Cell Carcinoma (BCC),ISIC_0055271.jpg,D:/Analisis data cptn/Data capston project\Terparah\Basal Cell Carcinoma (BCC)\ISIC_0055271.jpg,1024,1024,JPEG,RGB
Ringan,Atopic Dermatitis,6_149.jpg,D:/Analisis data cptn/Data capston project\Ringan\Atopic Dermatitis\6_149.jpg,294,222,JPEG,RGB
